bus_id,pd,zone_id,base_kv
107963,0.0,2,161.0
107964,0.0,2,161.0
107965,0.0,2,161.0
107966,0.0,2,161.0
107967,4.345,2,115.0
107968,4.345,2,115.0
107969,4.345,2,115.0
107970,0.0,2,307.5
107971,4.345,2,115.0
107972,4.345,2,115.0
107973,4.345,2,115.0
107974,4.345,2,115.0
107975,4.345,2,115.0
107976,0.0,2,161.0
107977,0.0,2,161.0
107978,0.0,2,161.0
107979,0.0,2,161.0
107981,11.356,2,69.0
107982,0.0,2,161.0
107983,11.356,2,69.0
107984,11.356,2,69.0
107985,0.0,2,161.0
107988,0.0,2,161.0
107989,0.0,2,161.0
107990,21.018,2,69.0
107991,0.0,2,161.0
107993,0.0,2,161.0
107994,0.0,2,161.0
107995,0.0,2,161.0
107997,0.0,2,161.0
107998,97.831,2,69.0
107999,4.227,2,69.0
108000,4.227,2,69.0
108001,4.227,2,69.0
108002,0.0,2,161.0
108003,4.227,2,69.0
108004,4.227,2,69.0
108005,4.227,2,69.0
108006,3.658,2,115.0
108007,3.362,2,115.0
108008,3.362,2,115.0
108009,6.17,2,115.0
108010,6.17,2,115.0
108011,6.17,2,115.0
108012,0.0,2,138.0
108013,0.0,2,161.0
108014,0.0,2,161.0
108016,0.0,2,161.0
108017,124.242,2,115.0
108019,0.0,2,161.0
108020,0.0,2,161.0
108021,0.0,2,161.0
108022,5.093,2,69.0
108023,5.093,2,69.0
108024,0.0,2,161.0
108025,6.146,2,161.0
108027,6.146,2,69.0
108028,6.146,2,69.0
108029,9.905,2,115.0
108030,9.905,2,115.0
108031,9.905,2,115.0
108032,9.905,2,115.0
108033,9.905,2,115.0
108034,9.905,2,115.0
108035,9.905,2,115.0
108036,9.905,2,115.0
108037,9.905,2,115.0
108038,9.905,2,115.0
108039,7.287,2,115.0
108041,7.287,2,115.0
108042,7.287,2,115.0
108043,0.0,2,161.0
108045,3.991,2,115.0
108046,3.991,2,115.0
108047,3.991,2,69.0
108048,3.991,2,115.0
108049,3.991,2,115.0
108050,4.824,2,115.0
108051,4.824,2,115.0
108052,4.824,2,115.0
108053,4.824,2,115.0
108054,4.824,2,115.0
